Entity	Year	TempVal	CO2Val
Global	1977	0.25	18355439225
Global	1978	0.11	18561698852
Global	1979	0.18	19594228807
Global	1980	0.32	19388094366
Global	1981	0.53	18787122618
Global	1982	0.12	18624075692
Global	1983	0.51	18549448038
Global	1984	0.07	19216866047
Global	1985	0.11	19792621843
Global	1986	0.31	20395949534
Global	1987	0.46	20912413491
Global	1988	0.59	21681109322
Global	1989	0.37	22154335730
Global	1990	0.67	22181807367
Global	1991	0.54	22429377426
Global	1992	0.25	22195105131
Global	1993	0.36	22153143108
Global	1994	0.49	22533832969
Global	1995	0.78	23007425377
Global	1996	0.36	23522979106
Global	1997	0.65	23915329404
Global	1998	0.99	23984983896
Global	1999	0.79	23930561468
Global	2000	0.64	24558691083
Global	2001	0.86	25137999688
Global	2002	0.97	25494190555
Global	2003	0.96	26866738381
Global	2004	0.83	28187598935
Global	2005	1.1	29254906351
Global	2006	0.99	30286836386
Global	2007	1.13	30880145296
Global	2008	0.91	31875755797
Global	2009	0.92	31523142973
Global	2010	1.16	33066651212
Global	2011	0.93	34357365920
Global	2012	0.97	34919288710
Global	2013	1.05	35207885978
Global	2014	1.03	35505827039
Global	2015	1.42	35462746737
Global	2016	1.53	35675099439
Global	2017	1.41	36153261645
