Entity,Year,Value
Europe,1977,0.01
Europe,1978,-0.46
Europe,1979,-0.07
Europe,1980,-0.53
Europe,1981,0.05
Europe,1982,0.26
Europe,1983,0.48
Europe,1984,0.06
Europe,1985,-0.67
Europe,1986,-0.12
Europe,1987,-0.62
Europe,1988,0.3
Europe,1989,1.06
Europe,1990,1.04
Europe,1991,0.22
Europe,1992,0.46
Europe,1993,0.01
Europe,1994,0.86
Europe,1995,0.63
Europe,1996,-0.14
Europe,1997,0.49
Europe,1998,0.61
Europe,1999,1.09
Europe,2000,1.27
Europe,2001,0.88
Europe,2002,1.11
Europe,2003,0.91
Europe,2004,0.76
Europe,2005,0.79
Europe,2006,1.08
Europe,2007,1.39
Europe,2008,1.29
Europe,2009,1.08
Europe,2010,0.6
Europe,2011,1.23
Europe,2012,0.99
Europe,2013,1.06
Europe,2014,1.8
Europe,2015,1.73
Europe,2016,1.5
Europe,2017,1.41
Global,1977,0.25
Global,1978,0.11
Global,1979,0.18
Global,1980,0.32
Global,1981,0.53
Global,1982,0.12
Global,1983,0.51
Global,1984,0.07
Global,1985,0.11
Global,1986,0.31
Global,1987,0.46
Global,1988,0.59
Global,1989,0.37
Global,1990,0.67
Global,1991,0.54
Global,1992,0.25
Global,1993,0.36
Global,1994,0.49
Global,1995,0.78
Global,1996,0.36
Global,1997,0.65
Global,1998,0.99
Global,1999,0.79
Global,2000,0.64
Global,2001,0.86
Global,2002,0.97
Global,2003,0.96
Global,2004,0.83
Global,2005,1.1
Global,2006,0.99
Global,2007,1.13
Global,2008,0.91
Global,2009,0.92
Global,2010,1.16
Global,2011,0.93
Global,2012,0.97
Global,2013,1.05
Global,2014,1.03
Global,2015,1.42
Global,2016,1.53
Global,2017,1.41
